sym,date,period_start_price,period_end_price,20_period_return,williams_3,williams_5,williams_10,williams_15,williams_20,williams_25,williams_30,williams_50,williams_70,williams_100,williams_120,williams_150,williams_200,rsi_3,rsi_5,rsi_10,rsi_15,rsi_20,rsi_25,rsi_30,rsi_50,rsi_70,rsi_100,rsi_120,rsi_150,rsi_200,adx_3,adx_5,adx_10,adx_15,adx_20,adx_25,adx_30,adx_50,adx_70,adx_100,adx_120,adx_150,adx_200,standardDeviation_3,standardDeviation_5,standardDeviation_10,standardDeviation_15,standardDeviation_20,standardDeviation_25,standardDeviation_30,standardDeviation_50,standardDeviation_70,standardDeviation_100,standardDeviation_120,standardDeviation_150,standardDeviation_200,ema_3_above_sma_3,ema_3_above_tema_3,ema_3_above_dema_3,ema_3_above_wma_3,ema_3_above_ema_5,ema_3_above_sma_5,ema_3_above_tema_5,ema_3_above_dema_5,ema_3_above_wma_5,ema_3_above_ema_10,ema_3_above_sma_10,ema_3_above_tema_10,ema_3_above_dema_10,ema_3_above_wma_10,ema_3_above_ema_15,ema_3_above_sma_15,ema_3_above_tema_15,ema_3_above_dema_15,ema_3_above_wma_15,ema_3_above_ema_20,ema_3_above_sma_20,ema_3_above_tema_20,ema_3_above_dema_20,ema_3_above_wma_20,ema_3_above_ema_25,ema_3_above_sma_25,ema_3_above_tema_25,ema_3_above_dema_25,ema_3_above_wma_25,ema_3_above_ema_30,ema_3_above_sma_30,ema_3_above_tema_30,ema_3_above_dema_30,ema_3_above_wma_30,ema_3_above_ema_50,ema_3_above_sma_50,ema_3_above_tema_50,ema_3_above_dema_50,ema_3_above_wma_50,ema_3_above_ema_70,ema_3_above_sma_70,ema_3_above_tema_70,ema_3_above_dema_70,ema_3_above_wma_70,ema_3_above_ema_100,ema_3_above_sma_100,ema_3_above_tema_100,ema_3_above_dema_100,ema_3_above_wma_100,ema_3_above_ema_120,ema_3_above_sma_120,ema_3_above_tema_120,ema_3_above_dema_120,ema_3_above_wma_120,ema_3_above_ema_150,ema_3_above_sma_150,ema_3_above_tema_150,ema_3_above_dema_150,ema_3_above_wma_150,ema_3_above_ema_200,ema_3_above_sma_200,ema_3_above_tema_200,ema_3_above_dema_200,ema_3_above_wma_200,sma_3_above_tema_3,sma_3_above_dema_3,sma_3_above_wma_3,sma_3_above_ema_5,sma_3_above_sma_5,sma_3_above_tema_5,sma_3_above_dema_5,sma_3_above_wma_5,sma_3_above_ema_10,sma_3_above_sma_10,sma_3_above_tema_10,sma_3_above_dema_10,sma_3_above_wma_10,sma_3_above_ema_15,sma_3_above_sma_15,sma_3_above_tema_15,sma_3_above_dema_15,sma_3_above_wma_15,sma_3_above_ema_20,sma_3_above_sma_20,sma_3_above_tema_20,sma_3_above_dema_20,sma_3_above_wma_20,sma_3_above_ema_25,sma_3_above_sma_25,sma_3_above_tema_25,sma_3_above_dema_25,sma_3_above_wma_25,sma_3_above_ema_30,sma_3_above_sma_30,sma_3_above_tema_30,sma_3_above_dema_30,sma_3_above_wma_30,sma_3_above_ema_50,sma_3_above_sma_50,sma_3_above_tema_50,sma_3_above_dema_50,sma_3_above_wma_50,sma_3_above_ema_70,sma_3_above_sma_70,sma_3_above_tema_70,sma_3_above_dema_70,sma_3_above_wma_70,sma_3_above_ema_100,sma_3_above_sma_100,sma_3_above_tema_100,sma_3_above_dema_100,sma_3_above_wma_100,sma_3_above_ema_120,sma_3_above_sma_120,sma_3_above_tema_120,sma_3_above_dema_120,sma_3_above_wma_120,sma_3_above_ema_150,sma_3_above_sma_150,sma_3_above_tema_150,sma_3_above_dema_150,sma_3_above_wma_150,sma_3_above_ema_200,sma_3_above_sma_200,sma_3_above_tema_200,sma_3_above_dema_200,sma_3_above_wma_200,tema_3_above_dema_3,tema_3_above_wma_3,tema_3_above_ema_5,tema_3_above_sma_5,tema_3_above_tema_5,tema_3_above_dema_5,tema_3_above_wma_5,tema_3_above_ema_10,tema_3_above_sma_10,tema_3_above_tema_10,tema_3_above_dema_10,tema_3_above_wma_10,tema_3_above_ema_15,tema_3_above_sma_15,tema_3_above_tema_15,tema_3_above_dema_15,tema_3_above_wma_15,tema_3_above_ema_20,tema_3_above_sma_20,tema_3_above_tema_20,tema_3_above_dema_20,tema_3_above_wma_20,tema_3_above_ema_25,tema_3_above_sma_25,tema_3_above_tema_25,tema_3_above_dema_25,tema_3_above_wma_25,tema_3_above_ema_30,tema_3_above_sma_30,tema_3_above_tema_30,tema_3_above_dema_30,tema_3_above_wma_30,tema_3_above_ema_50,tema_3_above_sma_50,tema_3_above_tema_50,tema_3_above_dema_50,tema_3_above_wma_50,tema_3_above_ema_70,tema_3_above_sma_70,tema_3_above_tema_70,tema_3_above_dema_70,tema_3_above_wma_70,tema_3_above_ema_100,tema_3_above_sma_100,tema_3_above_tema_100,tema_3_above_dema_100,tema_3_above_wma_100,tema_3_above_ema_120,tema_3_above_sma_120,tema_3_above_tema_120,tema_3_above_dema_120,tema_3_above_wma_120,tema_3_above_ema_150,tema_3_above_sma_150,tema_3_above_tema_150,tema_3_above_dema_150,tema_3_above_wma_150,tema_3_above_ema_200,tema_3_above_sma_200,tema_3_above_tema_200,tema_3_above_dema_200,tema_3_above_wma_200,dema_3_above_wma_3,dema_3_above_ema_5,dema_3_above_sma_5,dema_3_above_tema_5,dema_3_above_dema_5,dema_3_above_wma_5,dema_3_above_ema_10,dema_3_above_sma_10,dema_3_above_tema_10,dema_3_above_dema_10,dema_3_above_wma_10,dema_3_above_ema_15,dema_3_above_sma_15,dema_3_above_tema_15,dema_3_above_dema_15,dema_3_above_wma_15,dema_3_above_ema_20,dema_3_above_sma_20,dema_3_above_tema_20,dema_3_above_dema_20,dema_3_above_wma_20,dema_3_above_ema_25,dema_3_above_sma_25,dema_3_above_tema_25,dema_3_above_dema_25,dema_3_above_wma_25,dema_3_above_ema_30,dema_3_above_sma_30,dema_3_above_tema_30,dema_3_above_dema_30,dema_3_above_wma_30,dema_3_above_ema_50,dema_3_above_sma_50,dema_3_above_tema_50,dema_3_above_dema_50,dema_3_above_wma_50,dema_3_above_ema_70,dema_3_above_sma_70,dema_3_above_tema_70,dema_3_above_dema_70,dema_3_above_wma_70,dema_3_above_ema_100,dema_3_above_sma_100,dema_3_above_tema_100,dema_3_above_dema_100,dema_3_above_wma_100,dema_3_above_ema_120,dema_3_above_sma_120,dema_3_above_tema_120,dema_3_above_dema_120,dema_3_above_wma_120,dema_3_above_ema_150,dema_3_above_sma_150,dema_3_above_tema_150,dema_3_above_dema_150,dema_3_above_wma_150,dema_3_above_ema_200,dema_3_above_sma_200,dema_3_above_tema_200,dema_3_above_dema_200,dema_3_above_wma_200
WM,2023-11-08,170.27,172.5,0.013096846185470076,-2.352941176470667,-0.7509386733417047,-0.6359300476947776,-0.36630036630037965,-0.36630036630037965,-0.3442340791738511,-0.2909796314258111,-0.2909796314258111,-0.2909796314258111,-14.333333333333323,-14.333333333333323,-14.333333333333323,-13.543307086614162,94.62573340605802,86.28211402244443,76.09353095635922,70.89494857419353,67.29229451882216,64.58266082808922,62.49791441462498,57.70717674447823,55.49181198067104,53.84936382183147,53.25817066727801,52.749102374156244,52.49420847370788,81.58386069347428,57.1145715590455,31.5326047778795,22.84436763589814,19.120917916569525,16.68387265783275,14.845968691500984,10.17146780663605,7.749565430938451,5.995225303029527,5.397343566735489,4.828216210954976,4.374284452079955,0.46549853800940266,1.1755271158080585,3.060778332385412,5.002280368880667,4.854117942530857,4.939190638151154,5.4127329716347745,4.414203003940802,3.8311003081919655,5.537667830413811,5.099972940423856,4.973019829260911,6.2382275840177535,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WM,2023-11-07,169.36,172.84,0.02054794520547939,-20.849420849420515,-7.142857142857036,-3.988183161004375,-3.3855799373040214,-3.3855799373040214,-3.0320044918584617,-2.674591381872175,-2.674591381872175,-2.674591381872175,-18.12499999999998,-18.12499999999998,-18.12499999999998,-17.12598425196848,92.25189965613082,83.93441755850725,74.47085851968751,69.59524843395562,66.17636957541741,63.595218305653034,61.61045937253343,57.08192746909934,55.01868861595081,53.51070089065819,52.9759447507721,52.52460580569186,52.32746354752074,76.73210302583522,52.74307844274197,29.398356840077817,21.78786175326857,18.604405159309934,16.431668337021602,14.730888181062259,10.20610260229691,7.798850795457387,6.04168627479152,5.439743249721917,4.857166443888732,4.391601107644461,0.5544967688514228,1.9593304978997348,2.7251649491361105,4.714264688745803,4.594984521192644,4.725336068471744,5.103817841141624,4.102654340789631,3.6114757145431136,5.4820023385620695,5.051260565992964,4.936084739503117,6.2265754143027925,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WM,2023-11-06,169.22,173.95,0.02795177874955673,-1.5736766809730116,-1.5068493150686777,-0.7152145643693983,-0.7152145643693983,-0.7152145643693983,-0.5606523955148502,-0.5606523955148502,-0.5606523955148502,-0.5606523955148502,-18.70833333333337,-18.70833333333337,-18.70833333333337,-17.67716535433074,91.88423140099634,83.58873827015724,74.22865431838667,69.39903290900078,66.0068630588043,63.44469484833177,61.47487852515675,56.98605176932388,54.94606047167179,53.4586832710046,52.932587286861114,52.49011007722167,52.30183538547025,70.47661539675103,47.90111516893383,27.24596154649344,20.77263734308018,18.135144710509877,16.22103684643906,14.650400062374638,10.25715067490775,7.857145097029839,6.0926955408847165,5.485312177136185,4.884533493324448,4.408023899865298,0.9683777958811114,2.044753285851376,3.869838368717744,4.358268565484334,4.301916549632267,4.567518818789912,4.757789040673782,3.805173320625488,3.438734271175239,5.434401254968205,5.024763540594612,4.907428698072614,6.218010524074401,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WM,2023-11-01,164.04,173.8,0.059497683491831384,-23.02839116719289,-20.27883396704722,-8.852755194218757,-8.852755194218757,-8.085808580858233,-6.401045068582743,-6.401045068582743,-6.401045068582743,-20.211581291759465,-40.29166666666673,-40.29166666666673,-40.29166666666673,-38.07086614173234,70.79771986122535,68.36158247203807,64.42285561253178,61.57421647548462,59.30538566476132,57.53438577353862,56.181957985139896,53.30332770266569,52.18344002370703,51.49708189518073,51.30334304217871,51.19838534683632,51.34528711016495,37.574393180832324,30.71525108408276,21.199363184266087,18.304815409363066,17.231139921826564,15.993822447527371,14.73095680647688,10.553958476032369,8.10941222354749,6.259438517487217,5.600795473777036,4.952341702892555,4.449300175835358,0.6867475680497351,1.05350083056446,3.6493398033068924,3.271084359793992,3.2576563277914987,3.7996708489025717,3.538939954280094,2.9092514501156472,3.044742152549243,5.318790091740789,5.037626466568027,4.84951910559754,6.241893510586349,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WM,2023-10-31,164.33,170.99,0.0405282054402726,-9.48616600790478,-7.967667436489584,-6.233062330623273,-6.233062330623273,-5.336426914153112,-4.506858262573466,-4.506858262573466,-4.506858262573466,-35.70800351802983,-39.083333333333314,-39.083333333333314,-39.083333333333314,-36.92913385826769,76.11544283521987,70.85532772768303,65.59036258721173,62.36865988865257,59.9118270333278,58.024729666295805,56.59314094869912,53.55146415955957,52.3589020287751,51.616846610866766,51.40157025566896,51.27556580803297,51.402516499837404,35.04100466805561,29.903182909039078,21.06651729798013,18.56449333111177,17.648990084405966,16.43014606920583,15.139384420951403,10.731362316637114,8.179757082000323,6.283054604346246,5.613912583889988,4.958886321085322,4.454211109950161,1.2053491886862842,1.059112836292719,3.4480493035918136,3.142141944597664,3.199664474597297,3.6198508256556647,3.359107768440899,2.7692857490696046,3.3589381977533503,5.314146136492673,5.089416479731903,4.86996646121237,6.248487916288228,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WM,2023-10-30,162.75,169.74,0.042949308755760425,-52.97845373891019,-20.505871725383972,-20.505871725383972,-20.505871725383972,-14.826910516002679,-14.826910516002679,-14.826910516002679,-14.826910516002679,-43.500866551126514,-45.6666666666667,-45.6666666666667,-45.6666666666667,-43.14960629921262,67.15460104601863,65.34533900247096,62.23439670036044,59.72636835227259,57.67150632805555,56.066331091555305,54.852922717057794,52.36753847030093,51.48279678358702,51.00221198102264,50.89358726259771,50.874782440759006,51.10709196091998,32.14783086664012,29.12503930715324,20.97671103972429,18.870913355972153,18.106011718303424,16.89630960726038,15.570333406565663,10.909137242781934,8.249456046432027,6.306110280445541,5.626594306926971,4.9651333644927425,4.458959959205652,0.6629395816278354,3.359660697153806,3.117056464037824,2.8826901016623694,3.132234984799191,3.333843427637235,3.1311344944320445,2.607173342913738,3.639366327440276,5.30780000659407,5.144021577817843,4.909374356609336,6.254548136356454,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WM,2023-10-25,164.07,172.01,0.048393978180045094,-8.581752484191647,-8.581752484191647,-8.581752484191647,-7.838283828382976,-6.20509470934041,-6.20509470934041,-6.20509470934041,-6.20509470934041,-38.86760323541934,-40.16666666666673,-40.16666666666673,-40.16666666666673,-37.95275590551186,83.70067205715078,76.58485475854775,68.65327713811875,64.164946583581,60.99135494482257,58.6771513384282,56.98582981881115,53.574062925798025,52.31416351008786,51.561913941206186,51.351546055135046,51.235075446699604,51.37729382753531,49.205789990005606,31.098881128550317,21.759676059990355,20.504675814939297,19.999519220895174,18.678472061898674,17.025878153770986,11.386170855241605,8.424389984098093,6.357439128290362,5.652190912960905,4.975988692755809,4.468961587868901,4.172057845556151,3.3067651867043684,2.705726519809418,2.4497531848467227,2.9564192869077273,2.690255184922054,2.8286180371340337,2.355288041832676,4.299146939587349,5.31575439142931,5.254974563845829,5.09684681434403,6.28159768669564,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True
WM,2023-10-24,154.63,172.01,0.1123973355752441,-86.82170542635652,-90.35460992907794,-90.35460992907794,-71.49270482603823,-56.421612046058534,-56.87992988606495,-59.803921568627494,-59.803921568627494,-79.05491698595151,-79.50000000000004,-79.50000000000004,-79.50000000000004,-75.1181102362205,11.84825338783601,27.193569224538777,39.65830445388273,42.39125788470433,43.254918193243704,43.684513064166005,44.03078949125416,45.387523844477634,46.497251352558166,47.61643170349307,48.13406822637606,48.72966317281708,49.553215953436116,43.424080868875315,27.088419696374473,20.94857894138324,20.635620248262935,20.42311321856011,19.14757685068983,17.463941047116055,11.594742151169886,8.50597249452701,6.3851525198623476,5.66786686313914,4.984050322372381,4.474761337815987,0.8134835926775459,1.4489637676629497,1.8520585843865738,1.86706257706234,2.3893741335337175,2.316716642146813,2.5870931993691726,2.1654077121872457,4.349952230561074,5.32072472883159,5.276769368867871,5.163394576783336,6.275564292555691,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WM,2023-10-23,155.96,171.77,0.10137214670428316,-97.86096256684459,-98.43749999999976,-73.90029325513193,-44.641275465013244,-44.641275465013244,-45.22348816827343,-48.93790849673195,-48.93790849673195,-73.39293316304808,-73.95833333333334,-73.95833333333334,-73.95833333333334,-69.88188976377951,20.220827675795974,35.675460349065034,44.92778387364095,46.07238736445993,46.05784924500314,45.93884990390002,45.91413507313309,46.5201497414507,47.29852600471233,48.163633102115355,48.58299568775928,49.082581078005944,49.815196366723846,34.380285192293066,23.141980995892276,20.169586301904133,20.340669180790883,20.26288110824441,19.01044965637127,17.329170843872216,11.48199635066899,8.426308273159862,6.33693074771395,5.632074450399661,4.960137799871189,4.4632098356343555,0.4541903663541134,1.5531464837548319,1.6296579395689132,2.086808727858561,2.3731972105158055,2.3925067690604345,2.572368471964224,2.1854733491854805,4.426806756706744,5.276390412962256,5.249623763635088,5.164594309548643,6.264739815826353,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WM,2023-10-18,159.05,170.55,0.07230430682175416,-78.31325301204744,-28.592375366568778,-24.074074074073952,-17.271922054915766,-17.271922054915766,-23.69281045751619,-23.69281045751619,-25.577689243027763,-60.23839931885904,-61.08333333333332,-61.08333333333332,-61.08333333333332,-57.71653543307084,57.28685955564825,62.3271267677959,59.084504263383224,55.5595788683659,53.12042094457564,51.53481808660614,50.53952018017802,49.23786690995863,49.20053136699877,49.45201537036713,49.63683964484359,49.90877458779571,50.42706627153211,37.791767305223246,26.823620850903023,22.228669368747894,21.37594754929157,20.844712564329757,19.265989471207615,17.38140107752527,11.306158879310528,8.27059604305319,6.232983025383792,5.552884435364862,4.906410592573819,4.438811513549327,0.43366653856005904,1.8172000440237694,1.8738612542021362,2.690372464920052,2.398829870999609,2.700498146638875,2.5680212875545507,2.3170073456940097,4.7515537222586675,5.199573832536663,5.202751034442152,5.21810898059185,6.2722065046919475,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False
