sym,date,period_start_price,period_end_price,20_period_return,ema_3,sma_3,wma_3
INTC,2023-11-01,37.29,43.74,0.172968624296058,36.52232100104085,36.49333333333333,36.76
INTC,2023-10-31,36.5,44.7,0.22465753424657542,35.7546420020817,35.91,36.07
INTC,2023-10-30,35.69,44.94,0.2591762398430933,35.009284004163405,34.583333333333336,35.111666666666665
INTC,2023-10-25,32.83,43.96,0.33901918976545853,33.71427203330725,33.75666666666667,33.586666666666666
INTC,2023-10-24,34.59,43.96,0.27088753975137314,34.598544066614515,34.45333333333333,34.39833333333333
INTC,2023-10-23,33.85,43.67,0.2901033973412112,34.60708813322903,34.81333333333334,34.51
INTC,2023-10-18,35.64,43.81,0.22923681257014594,35.94670506583225,36.086666666666666,35.93333333333334
INTC,2023-10-17,36.06,43.35,0.20216306156405986,36.2534101316645,36.196666666666665,36.211666666666666
INTC,2023-10-16,36.56,40.61,0.11077680525164105,36.446820263329,36.45666666666667,36.410000000000004
INTC,2023-10-10,36.43,37.8,0.03760636837771061,36.22912421326395,36.22666666666667,36.266666666666666
INTC,2023-10-09,36.06,37.92,0.051580698835274524,36.0282484265279,36.04666666666667,36.074999999999996
INTC,2023-10-04,35.93,38.14,0.06150848872808241,35.71598741222322,35.693333333333335,35.77166666666667
INTC,2023-10-03,35.69,37.7,0.05631829644158042,35.50197482444644,35.56666666666667,35.589999999999996
INTC,2023-10-02,35.46,37.29,0.051607445008460186,35.31394964889289,35.39666666666667,35.443333333333335
INTC,2023-09-27,34.61,35.54,0.026870846576134057,34.391597191143106,34.24333333333333,34.29666666666666
INTC,2023-09-26,33.83,32.52,-0.03872302689920175,34.17319438228622,34.1,34.041666666666664
INTC,2023-09-25,34.29,32.83,-0.042578011081948114,34.51638876457244,34.373333333333335,34.31333333333333
INTC,2023-09-20,34.69,34.92,0.0066301527817816085,35.96111011657951,36.34,35.79
INTC,2023-09-19,36.34,35.67,-0.018436984039625803,37.232220233159026,37.403333333333336,37.14666666666667
INTC,2023-09-18,37.99,35.64,-0.061858383785206666,38.12444046631805,38.18,38.06666666666667
INTC,2023-09-13,38.71,35.97,-0.07078274347713774,38.605523730544405,38.72,38.74
INTC,2023-09-12,38.86,36.84,-0.051981471950591766,38.5010474610888,38.48666666666667,38.62833333333333
INTC,2023-09-11,38.59,36.88,-0.04431199792692409,38.14209492217761,38.26,38.32833333333333
INTC,2023-09-06,36.98,36.19,-0.021362898864250926,36.576759377420885,36.766666666666666,36.82833333333333
INTC,2023-09-05,36.71,35.89,-0.02233723780986108,36.17351875484178,36.15333333333333,36.415
INTC,2023-08-30,34.53,35.55,0.029539530842745323,34.188150038734264,34.153333333333336,34.305
INTC,2023-08-29,34.31,35.18,0.025357038764208608,33.84630007746853,33.72666666666667,33.903333333333336
INTC,2023-08-28,33.62,34.61,0.02944675788221303,33.38260015493705,33.153333333333336,33.324999999999996
INTC,2023-08-23,33.98,34.18,0.005885815185403262,33.49080123949646,33.336666666666666,33.47666666666667
INTC,2023-08-22,32.89,34.65,0.053511705685618666,33.001602478992936,32.92666666666667,32.949999999999996
INTC,2023-08-21,33.14,34.69,0.04677127338563661,33.113204957985864,32.82333333333333,32.916666666666664
INTC,2023-08-16,33.53,37.88,0.12973456606024458,34.26563966388691,34.660000000000004,34.30166666666667
INTC,2023-08-15,34.77,38.67,0.11216566005176871,35.001279327773815,35.11333333333334,35.093333333333334
INTC,2023-08-14,35.68,38.71,0.08492152466367717,35.23255865554762,35.083333333333336,35.25
INTC,2023-08-09,34.28,38.01,0.10880980163360551,34.68046924438096,34.843333333333334,34.685
INTC,2023-08-08,35.02,38.18,0.09023415191319235,35.080938488761916,35.13,35.11
INTC,2023-08-07,35.23,36.98,0.049673573658813516,35.14187697752383,35.080000000000005,35.14
INTC,2023-08-02,34.39,36.61,0.06455364931666178,35.065015820190645,35.32,35.09
INTC,2023-08-01,35.8,35.14,-0.018435754189944042,35.74003164038129,36.13333333333333,35.961666666666666
INTC,2023-07-31,35.77,34.53,-0.034665921162985794,35.68006328076258,35.71666666666666,35.919999999999995
INTC,2023-07-26,34.36,33.25,-0.03230500582072175,34.15050624610063,34.03,34.15166666666667
INTC,2023-07-25,34.1,32.59,-0.044281524926686154,33.94101249220127,33.916666666666664,33.93
INTC,2023-07-24,33.63,33.98,0.010407374368123529,33.78202498440254,33.67333333333334,33.71666666666667
INTC,2023-07-19,34.46,32.75,-0.04962275101567037,34.32619987522027,34.443333333333335,34.458333333333336
INTC,2023-07-18,34.5,32.58,-0.05565217391304353,34.192399750440536,34.00666666666667,34.23166666666666
INTC,2023-07-17,34.37,33.53,-0.024439918533604783,33.88479950088107,33.79666666666666,33.879999999999995
INTC,2023-07-12,33.98,34.89,0.026780459093584574,33.428396007048576,33.34,33.54666666666667
INTC,2023-07-11,33.3,34.68,0.041441441441441525,32.87679201409716,32.629999999999995,32.87166666666667
INTC,2023-07-10,32.74,34.28,0.04703726328649967,32.45358402819433,32.18666666666667,32.315
INTC,2023-07-05,32.51,35.14,0.08089818517379277,32.9986722255546,33.19,33.035
INTC,2023-07-03,33.62,34.39,0.02290303390838796,33.4873444511092,33.32333333333333,33.44166666666666
INTC,2023-06-28,33.57,36.83,0.09711051534107829,33.62875560887363,33.67,33.708333333333336
INTC,2023-06-27,34.1,34.55,0.013196480938416296,33.68751121774727,33.48,33.663333333333334
INTC,2023-06-26,33.34,34.36,0.030593881223755125,33.275022435494535,33.01666666666667,33.12166666666667
INTC,2023-06-21,32.9,34.02,0.0340425531914895,34.1301794839563,34.75666666666667,34.178333333333335
INTC,2023-06-20,35.0,33.37,-0.046571428571428646,35.36035896791259,35.73,35.593333333333334
INTC,2023-06-14,35.58,33.15,-0.06829679595278246,34.32287174330074,34.18666666666667,34.605
INTC,2023-06-13,33.91,33.87,-0.0011795930404010365,33.06574348660148,32.77333333333333,33.20166666666666
INTC,2023-06-12,33.07,33.98,0.027517387360145043,32.22148697320296,32.07666666666666,32.285000000000004
